ImageID,Type,Color,Style,Occasion,Season,Suggestions
black-hat_f3fe41a7,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825ea07-0ec9ec1b07d58bb00430bef5;23c9dfbb-a120-4870-8e06-71fa2afd583a)"
Black-hoodie_1c361157,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825ea08-58ff379a7da3e2c731c4d263;ef60700f-d8a5-448f-a6c8-6970bf7f0e40)"
black-jumper_71c9bdd8,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825ea08-53230a0e0d90fe9a0aa8d636;1d6b59f5-3256-4866-8772-6ddeb40a045c)"
black-pant_22589fea,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825ea08-0bdcde572ad8d4cc77a43a4a;551948a8-9b5c-45ed-a926-6a9289e46872)"
black-trousers_eeb8ab79,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825ea08-5a42224d65f481e164142a9a;68175f7a-136b-44c8-be9d-1440266a532f)"
white-t-shirt-round_36706ebb,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825ea09-61ea5c321e624dcc20d6f971;6c6a4e78-46e8-4273-a494-186be21b8404)"
white-t-shirt_c18048ef,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825ea09-05fc76b10878dccc7dc3be64;2d3142dc-46b6-4982-b009-05e90ec2921a)"
black-hat_a14d32d2,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825ead5-058226901666295d7cb0ecb2;6c7413da-b797-4a82-9b83-cf7246868806)"
Black-hoodie_32c1652a,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825ead6-57c32a2054869ecf197703b1;eb940a5c-06c6-4d65-8a8b-5b86d228e917)"
black-jumper_cc2374d8,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825ead6-49c238db276eff380f71e9ea;d6e1e24e-1707-448e-be5c-36ea81604788)"
black-pant_bb308f0c,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825ead6-4cb6a3b178b4a02e5c57d367;d81befa8-f589-47b4-873e-b23e6da6f85a)"
black-trousers_b8938733,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825ead6-3026faf717226b39357b737f;51fdfc56-b634-4617-8006-cbc374fa65f4)"
white-t-shirt-round_4350a7df,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825ead6-7199d2af5854a9f90755780c;ceb636cd-19b8-4f73-ac3c-3c94473b63ad)"
white-t-shirt_d719d0b8,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825ead7-76eb706a0a1a095278b472fc;0bb33704-56a7-4af7-b875-9239b9035a5f)"
black-hat_ccd515a2,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825eb18-6e759b7827cef3570db9c4a3;75bd5d34-c63d-49c3-9a21-8c254442f4e5)"
Black-hoodie_4c00d2cb,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825eb18-10f7946236e1d4de197aca54;4309f665-d7d1-471a-be6d-8e16a4fc814b)"
black-jumper_9320a30d,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825eb19-13ad3e0a24024dc2344cb99a;240c850a-74e2-4c92-a0f1-e628afc3f138)"
black-pant_1deb42e3,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825eb19-1eea7af60976d56842471886;ca67e646-8c20-40b4-8aed-27bd31a17a0b)"
black-trousers_807ca4cc,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825eb19-53a0a93f202eb439139bd57d;f8ee26b8-c58e-427d-9bfc-256fcffbe632)"
white-t-shirt-round_4c5a0186,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825eb19-766b6a884d1bfdfc1992750a;1c5ae3f1-25e9-4cfa-b785-1914cb2667ff)"
white-t-shirt_1d6c8180,Unknown,Unknown,Casual,General,All Seasons,"inference/models/meta-llama/Llama-3, 11B-Vision-Instruct/v1/chat/completions (Request ID: Root=1-6825eb1a-669fed3a2c31be920f223c3d;6766b918-aaa1-4f0f-86cc-b3e1c7054a15)"
